Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
flowerjewellery-rose,Rose Flowerjewellery,Color,Yellow,,,,,rose-flowerjewellery-yellow,,,Primary location,0,0,0,50,50
gifthamper,Gifthamper,Color,Standard,,,,,gifthamper,,,Primary location,0,0,0,50,50
gifthamper-satin-hamper,Satin Hamper Gifthamper,Color,Black,,,,,satin-hamper-gifthamper-black,,,Primary location,0,0,0,50,50
gifthamper-satin-hamper,Satin Hamper Gifthamper,Color,Cream,,,,,satin-hamper-gifthamper-cream,,,Primary location,0,0,0,50,50
gifthamper-satin-hamper,Satin Hamper Gifthamper,Color,Grey,,,,,satin-hamper-gifthamper-grey,,,Primary location,0,0,0,50,50
gifthamper-satin-hamper,Satin Hamper Gifthamper,Color,Light-yellow,,,,,satin-hamper-gifthamper-light-yellow,,,Primary location,0,0,0,50,50
gifthamper-satin-hamper,Satin Hamper Gifthamper,Color,Lilac,,,,,satin-hamper-gifthamper-lilac,,,Primary location,0,0,0,50,50
gifthamper-satin-hamper,Satin Hamper Gifthamper,Color,Magenta,,,,,satin-hamper-gifthamper-magenta,,,Primary location,0,0,0,50,50
gifthamper-satin-hamper,Satin Hamper Gifthamper,Color,Peach,,,,,satin-hamper-gifthamper-peach,,,Primary location,0,0,0,50,50
gifthamper-satin-hamper,Satin Hamper Gifthamper,Color,Petrol-blue,,,,,satin-hamper-gifthamper-petrol-blue,,,Primary location,0,0,0,50,50
gifthamper-satin-hamper,Satin Hamper Gifthamper,Color,Pistachio,,,,,satin-hamper-gifthamper-pistachio,,,Primary location,0,0,0,50,50
gifthamper-satin-hamper,Satin Hamper Gifthamper,Color,Red,,,,,satin-hamper-gifthamper-red,,,Primary location,0,0,0,50,50
gifthamper-satin-hamper,Satin Hamper Gifthamper,Color,Sky-blue,,,,,satin-hamper-gifthamper-sky-blue,,,Primary location,0,0,0,50,50
gifthamper-satin-hamper,Satin Hamper Gifthamper,Color,Wine,,,,,satin-hamper-gifthamper-wine,,,Primary location,0,0,0,50,50
hairbow-combo,Combo Hairbow,Color,Standard,,,,,combo-hairbow,,,Primary location,0,0,0,50,50
hairbow-combo,Combo Hairbow,Color,Satin-tulip,,,,,combo-hairbow-satin-tulip,,,Primary location,0,0,0,50,50
hairbow-combo,Combo Hairbow,Color,3-layered,,,,,combo-hairbow-3-layered,,,Primary location,0,0,0,50,50
hairbow-combo,Combo Hairbow,Color,Jimmi-choo,,,,,combo-hairbow-jimmi-choo,,,Primary location,0,0,0,50,50
hairbow-combo,Combo Hairbow,Color,Mini-bow,,,,,combo-hairbow-mini-bow,,,Primary location,0,0,0,50,50
hairbow-combo,Combo Hairbow,Color,Pigtail,,,,,combo-hairbow-pigtail,,,Primary location,0,0,0,50,50
hairbow-combo,Combo Hairbow,Color,Princess,,,,,combo-hairbow-princess,,,Primary location,0,0,0,50,50
hairbow-combo,Combo Hairbow,Color,Scarf,,,,,combo-hairbow-scarf,,,Primary location,0,0,0,50,50
hairbow-combo,Combo Hairbow,Color,Tulip,,,,,combo-hairbow-tulip,,,Primary location,0,0,0,50,50
hairbow-jimmychoo,Jimmychoo Hairbow,Color,Combo,,,,,jimmychoo-hairbow-combo,,,Primary location,0,0,0,50,50
hairbow-jimmychoo,Jimmychoo Hairbow,Color,Light-mint,,,,,jimmychoo-hairbow-light-mint,,,Primary location,0,0,0,50,50
hairbow-jimmychoo,Jimmychoo Hairbow,Color,Maroon,,,,,jimmychoo-hairbow-maroon,,,Primary location,0,0,0,50,50
hairbow-jimmychoo,Jimmychoo Hairbow,Color,Olive-green,,,,,jimmychoo-hairbow-olive-green,,,Primary location,0,0,0,50,50
hairbow-jimmychoo,Jimmychoo Hairbow,Color,Peach-pink,,,,,jimmychoo-hairbow-peach-pink,,,Primary location,0,0,0,50,50
hairbow-jimmychoo,Jimmychoo Hairbow,Color,Purple,,,,,jimmychoo-hairbow-purple,,,Primary location,0,0,0,50,50
hairbow-jimmychoo,Jimmychoo Hairbow,Color,Sky-blue,,,,,jimmychoo-hairbow-sky-blue,,,Primary location,0,0,0,50,50
hairbow-jimmychoo,Jimmychoo Hairbow,Color,Teal,,,,,jimmychoo-hairbow-teal,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Black,,,,,satin-hairbow-black,,,Primary location,0,0,0,50,50
