Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
flowerjewellery-rose,Rose Flowerjewellery,<p>Beautiful handmade Rose Flowerjewellery.</p>,Scrunch & Create,Apparel & Accessories > Clothing Accessories > Hair Accessories,Flowerjewellery,"flowerjewellery, rose, Handmade, Hair Accessories",TRUE,Color,Yellow,rose-flowerjewellery-yellow,50,shopify,20,continue,manual,399,459,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775596991/scrunchcreate/products/flowerjewellery/rose/yellow/sc-flowerjewellery-rose-yellow-1.webp,1,Rose Flowerjewellery - Yellow,active
flowerjewellery-rose,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775596994/scrunchcreate/products/flowerjewellery/rose/yellow/sc-flowerjewellery-rose-yellow-2.webp,2,Rose Flowerjewellery view 2,
flowerjewellery-rose,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775596996/scrunchcreate/products/flowerjewellery/rose/yellow/sc-flowerjewellery-rose-yellow-3.webp,3,Rose Flowerjewellery view 3,
flowerjewellery-rose,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775596999/scrunchcreate/products/flowerjewellery/rose/yellow/sc-flowerjewellery-rose-yellow-4.webp,4,Rose Flowerjewellery view 4,
flowerjewellery-rose,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597002/scrunchcreate/products/flowerjewellery/rose/yellow/sc-flowerjewellery-rose-yellow-5.webp,5,Rose Flowerjewellery view 5,
flowerjewellery-rose,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597004/scrunchcreate/products/flowerjewellery/rose/yellow/sc-flowerjewellery-rose-yellow-6.webp,6,Rose Flowerjewellery view 6,
flowerjewellery-rose,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597006/scrunchcreate/products/flowerjewellery/rose/yellow/sc-flowerjewellery-rose-yellow-7.webp,7,Rose Flowerjewellery view 7,
flowerjewellery-rose,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597009/scrunchcreate/products/flowerjewellery/rose/yellow/sc-flowerjewellery-rose-yellow-8.webp,8,Rose Flowerjewellery view 8,
gifthamper,Gifthamper,<p>Perfect for gifting.</p>,Scrunch & Create,Apparel & Accessories > Clothing Accessories > Hair Accessories,Gifthamper,"gifthamper, Handmade, Hair Accessories",TRUE,Color,Standard,gifthamper,50,shopify,20,continue,manual,199,229,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597038/scrunchcreate/products/gifthamper/sc-gifthamper-1.webp,1,Gifthamper - Standard,active
gifthamper,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597039/scrunchcreate/products/gifthamper/sc-gifthamper-10.webp,2,Gifthamper view 2,
